1_Stanley2Cross_  | time:  1.0732359886169434
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0018546581268310547
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.004892587661743164
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.003588438034057617
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.004487514495849609
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0028154850006103516
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.005664825439453125
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0018911361694335938
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002329111099243164
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.001734018325805664
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0015494823455810547
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0019443035125732422
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0017256736755371094
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0019996166229248047
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0017058849334716797
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0017242431640625
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0018069744110107422
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0036482810974121094
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0018053054809570312
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.001708984375
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0026340484619140625
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.001920938491821289
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002733945846557617
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0016984939575195312
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002433300018310547
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0018115043640136719
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002045869827270508
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0018987655639648438
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.003319978713989258
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0017008781433105469
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.0023872852325439453
1_Stanley2Cross_offset -6.548587241712099 mm / angle 11.62439572434893deg / z speed -0.7750585890028872 CROSS::[]  | time:  0.002706289291381836
